文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),求和,是否大于85
1,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,97.61,是
2,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,99.89,是
03部位1,87.05,,5.19,2.01,,4.06,,0.78,0.25,,0.66,,,,100,是
03部位2,61.71,,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,,,98.88,是
4,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,96.06,是
5,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,96.51,是
06部位1,67.65,,7.37,,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,,,98.92,是
06部位2,59.81,,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,,,98.84,是
7,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,99.7,是
8,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,99.82,是
08严重风化点,4.61,,,3.19,,1.11,,3.14,32.45,30.62,7.56,0.53,,15.03,98.24,是
9,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,99.77,是
10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,99.81,是
11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,95.39,是
12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,99.57,是
13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,98.14,是
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,99,是
15,61.87,3.21,7.44,,1.02,3.15,1.04,1.29,0.19,0,0.26,,,,79.47,否
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,,0.04,,,98.41,是
17,60.71,2.12,5.71,,0.85,,1.04,1.09,0.19,0,0.18,,0,,71.89,否
18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,97.25,是
19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,98.76,是
20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,88.41,是
21,76.68,,,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,,,,98.52,是
22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,100,是
23未风化点,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,,96.5,是
24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,98.88,是
25未风化点,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,,97.06,是
26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,99.82,是
26严重风化点,3.72,,0.4,3.01,,1.18,,3.6,29.92,35.45,6.04,0.62,,15.95,99.89,是
27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,98.81,是
28未风化点,68.08,,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,,98.69,是
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,,99.88,是
30部位1,34.34,,1.41,4.49,0.98,4.35,2.12,,39.22,10.29,,0.35,0.4,,97.95,是
30部位2,36.93,,,4.24,0.51,3.86,2.74,,37.74,10.35,1.41,0.48,0.44,,98.7,是
31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,98.43,是
32,69.71,,0.21,0.46,,2.36,1,0.11,19.76,4.88,0.17,,,,98.66,是
33,75.51,,0.15,0.64,1,2.35,,0.47,16.16,3.55,0.13,,,,99.96,是
34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10,0.34,0.22,,,97.52,是
