文物编号,纹饰,类型,颜色,表面风化,文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),分类
1,3,1,4,0,1,69.33,0,9.99,6.32,0.87,3.93,1.74,3.87,0,0,1.17,0,0,0.39,2
2,1,2,2,1,2,66.02687291,0,1.135234114,0.965050167,1.170434783,7.216086957,2.011906355,0,26.20093645,0,0,0.039799331,0,0,3
3,1,1,4,0,03部位1,87.05,0,5.19,2.01,0,4.06,0,0.78,0.25,0,0.66,0,0,0,2
3,1,1,4,0,03部位2,61.71,0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0,0,2
4,1,1,4,0,4,65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,0.79,0,0,0.36,2
5,1,1,4,0,5,61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,0.94,0.06,0,0.47,2
6,1,1,4,0,06部位1,67.65,0,7.37,0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0,0,2
6,1,1,4,0,06部位2,59.81,0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0,0,2
7,2,1,4,1,7,66.65083333,0,0,5.5325,0,6.67,1.836666667,4.130833333,0,0,1.7325,0,0,0,1
8,3,2,8,1,8,49.88687291,0,0,0.105050167,0,2.826086957,0,9.5659699,7.450936455,28.42443144,0,0.219799331,0,1.372976589,3
8,3,2,8,1,08严重风化点,34.35687291,0,0,1.815050167,0,2.596086957,0,2.2959699,11.22093645,27.81443144,3.331822742,0.379799331,0,13.82297659,3
9,2,1,4,1,9,69.04083333,0,9.3775,5.0825,0,6.01,1.986666667,2.440833333,0,0,1.4725,0,0,0,1
10,2,1,4,1,10,70.79083333,0,9.7075,4.6725,0,5.5,1.926666667,1.730833333,0,0,0,0,0,0,1
11,3,2,2,1,11,63.33687291,0,0.295234114,2.135050167,0.700434783,4.176086957,0,4.0859699,4.160936455,11.80443144,5.151822742,0.219799331,0,0,3
12,2,1,4,1,12,68.31083333,0,9.7975,5.1825,0,6.15,1.956666667,2.540833333,0,0,1.2725,0,0,0,1
13,3,1,2,0,13,59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0,2
14,3,1,6,0,14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0,0.16,0,0,0,2
16,3,1,2,0,16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,0,0.04,0,0,2
18,1,1,7,0,18,79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,0.07,2.36,0,2
19,1,2,0,1,19,59.38687291,0,0,1.555050167,0.580434783,5.056086957,1.481906355,2.6659699,21.59093645,2.544431438,4.601822742,0.039799331,0,0,3
